1		I		0		4654
2		P		120		4151
3		B		40		2738
4		B		80		2657
5		P		240		3067
6		B		160		2405
7		B		200		2351
8		P		360		3146
9		B		280		2324
10		B		320		2409
11		I		480		4419
12		B		400		2306
13		B		440		2380
14		P		600		3062
15		B		520		2481
16		B		560		2489
17		P		720		3334
18		B		640		2444
19		B		680		2566
20		P		840		3192
21		B		760		2482
22		B		800		2442
23		I		960		4502
24		B		880		2334
25		B		920		2495
26		P		1080		3120
27		B		1000		2442
28		B		1040		2535
29		P		1200		3137
30		B		1120		2379
31		B		1160		2432
32		P		1320		3253
33		B		1240		2552
34		B		1280		2422
35		I		1440		4616
36		B		1360		2603
37		B		1400		2730
38		P		1560		3479
39		B		1480		2531
40		B		1520		2570
41		P		1680		3374
42		B		1600		2717
43		B		1640		2823
44		P		1800		3339
45		B		1720		2679
46		B		1760		2688
47		I		1920		4740
48		B		1840		2712
49		B		1880		2758
50		P		2040		3416
51		B		1960		2726
52		B		2000		2693
53		P		2160		3394
54		B		2080		2727
55		B		2120		2683
56		P		2280		3446
57		B		2200		2725
58		B		2240		2889
59		I		2400		4742
60		B		2320		2781
61		B		2360		2601
62		P		2520		3424
63		B		2440		2686
64		B		2480		2709
65		P		2640		3563
66		B		2560		2896
67		B		2600		2701
68		P		2760		3448
69		B		2680		2731
70		B		2720		2793
71		I		2880		4601
72		B		2800		2416
73		B		2840		2481
74		P		3000		3097
75		B		2920		2429
76		B		2960		2446
77		P		3120		3040
78		B		3040		2070
79		B		3080		2306
80		P		3240		3075
81		B		3160		2354
82		B		3200		2196
83		I		3360		4314
84		B		3280		2112
85		B		3320		2310
86		P		3480		2759
87		B		3400		2031
88		B		3440		2082
89		P		3600		2832
90		B		3520		1973
91		B		3560		2037
92		P		3720		2753
93		B		3640		1706
94		B		3680		1863
95		I		3840		4433
96		B		3760		1618
97		B		3800		1513
98		P		3960		2628
99		B		3880		1628
100		B		3920		1564
101		P		4080		1997
102		B		4000		1355
103		B		4040		1258
104		P		4200		2325
105		B		4120		1216
106		B		4160		1159
107		I		4320		4359
108		B		4240		1014
109		B		4280		967
110		P		4440		1613
111		B		4360		1046
112		B		4400		965
113		P		4560		1173
114		B		4480		916
115		B		4520		900
116		P		4680		970
117		B		4600		968
118		B		4640		840
119		I		4800		4281
120		B		4720		625
121		B		4760		815
122		P		4920		948
123		B		4840		760
124		B		4880		853
125		P		5040		1273
126		B		4960		821
127		B		5000		795
128		P		5160		1128
129		B		5080		789
130		B		5120		845
131		I		5280		4615
132		B		5200		644
133		B		5240		683
134		P		5400		1318
135		B		5320		815
136		B		5360		868
137		P		5520		1120
138		B		5440		828
139		B		5480		888
140		P		5640		1125
141		B		5560		771
142		B		5600		961
143		I		5760		4856
144		B		5680		799
145		B		5720		702
146		P		5880		1138
147		B		5800		990
148		B		5840		1037
149		P		6000		1170
150		B		5920		860
151		B		5960		882
152		P		6120		1015
153		B		6040		770
154		B		6080		1049
155		I		6240		4746
156		B		6160		795
157		B		6200		1052
158		P		6360		1143
159		B		6280		829
160		B		6320		903
161		P		6480		1030
162		B		6400		766
163		B		6440		1009
164		P		6600		1009
165		B		6520		817
166		B		6560		916
167		I		6720		4746
168		B		6640		827
169		B		6680		754
170		P		6840		1196
171		B		6760		989
172		B		6800		985
173		P		6960		1135
174		B		6880		777
175		B		6920		837
176		P		7080		1101
177		B		7000		757
178		B		7040		754
179		I		7200		4796
180		B		7120		774
181		B		7160		761
182		P		7320		1162
183		B		7240		933
184		B		7280		988
185		P		7440		953
186		B		7360		907
187		B		7400		851
188		P		7560		991
189		B		7480		814
190		B		7520		735
191		I		7680		4807
192		B		7600		856
193		B		7640		707
194		P		7800		1091
195		B		7720		851
196		B		7760		1045
197		P		7920		1052
198		B		7840		844
199		B		7880		889
200		P		8040		1033
201		B		7960		791
202		B		8000		934
203		I		8160		4876
204		B		8080		792
205		B		8120		686
206		P		8280		1405
207		B		8200		925
208		B		8240		998
209		P		8400		1304
210		B		8320		891
211		B		8360		924
212		P		8520		1304
213		B		8440		853
214		B		8480		1259
215		I		8640		4970
216		B		8560		771
217		B		8600		782
218		P		8760		1260
219		B		8680		1056
220		B		8720		1057
221		P		8880		1201
222		B		8800		835
223		B		8840		923
224		P		9000		1474
225		B		8920		810
226		B		8960		844
227		I		9120		4914
228		B		9040		811
229		B		9080		793
230		P		9240		1328
231		B		9160		1067
232		B		9200		948
233		P		9360		1130
234		B		9280		845
235		B		9320		811
236		P		9480		1113
237		B		9400		910
238		B		9440		822
239		I		9600		5001
240		B		9520		731
241		B		9560		805
242		P		9720		1223
243		B		9640		1129
244		B		9680		910
245		P		9840		1032
246		B		9760		1007
247		B		9800		1011
248		P		9960		1069
249		B		9880		871
250		B		9920		851
251		I		10080		4903
252		B		10000		1102
253		B		10040		933
254		P		10200		1282
255		B		10120		901
256		B		10160		1169
257		P		10320		1231
258		B		10240		1064
259		B		10280		858
260		P		10440		1037
261		B		10360		884
262		B		10400		878
263		I		10560		4979
264		B		10480		1244
265		B		10520		834
266		P		10680		1153
267		B		10600		1093
268		B		10640		1065
269		P		10800		1095
270		B		10720		1039
271		B		10760		793
272		P		10920		1355
273		B		10840		835
274		B		10880		942
275		I		11040		4910
276		B		10960		777
277		B		11000		865
278		P		11160		1150
279		B		11080		1002
280		B		11120		1205
281		P		11280		1060
282		B		11200		808
283		B		11240		904
284		P		11400		950
285		B		11320		996
286		B		11360		973
287		I		11520		4849
288		B		11440		958
289		B		11480		1122
290		P		11640		3482
291		B		11560		1459
292		B		11600		1371
293		P		11760		2833
294		B		11680		1231
295		B		11720		1204
296		P		11880		2764
297		B		11800		1036
298		B		11840		931
299		I		12000		1867
300		B		11920		532
301		B		11960		619
302		P		12120		721
303		B		12040		464
304		B		12080		541
305		P		12240		280
306		B		12160		196
307		B		12200		212
308		P		12360		213
309		B		12280		96
310		B		12320		136
311		I		12480		497
312		B		12400		138
313		B		12440		216
314		P		12600		128
315		B		12520		86
316		B		12560		102
317		P		12720		93
318		B		12640		81
319		B		12680		118
320		P		12840		194
321		B		12760		141
322		B		12800		82
323		I		12960		517
324		B		12880		265
325		B		12920		192
326		P		13080		209
327		B		13000		102
328		B		13040		151
329		P		13200		124
330		B		13120		99
331		B		13160		91
332		P		13320		129
333		B		13240		86
334		B		13280		74
335		I		13440		529
336		B		13360		185
337		B		13400		150
338		P		13560		269
339		B		13480		115
340		B		13520		112
341		P		13680		146
342		B		13600		90
343		B		13640		94
344		P		13800		104
345		B		13720		96
346		B		13760		75
347		I		13920		606
348		B		13840		217
349		B		13880		238
350		P		14040		644
351		B		13960		288
352		B		14000		307
353		P		14160		597
354		B		14080		186
355		B		14120		233
356		P		14280		365
357		B		14200		234
358		B		14240		200
359		I		14400		1122
360		B		14320		275
361		B		14360		279
362		P		14520		390
363		B		14440		299
364		B		14480		241
365		P		14640		503
366		B		14560		298
367		B		14600		322
368		P		14760		352
369		B		14680		242
370		B		14720		247
371		I		14880		1221
372		B		14800		341
373		B		14840		426
374		P		15000		411
375		B		14920		352
376		B		14960		387
377		P		15120		423
378		B		15040		219
379		B		15080		224
380		P		15240		357
381		B		15160		270
382		B		15200		252
383		I		15360		1210
384		B		15280		278
385		B		15320		273
386		P		15480		420
387		B		15400		287
388		B		15440		290
389		P		15600		298
390		B		15520		268
391		B		15560		270
392		P		15720		420
393		B		15640		338
394		B		15680		527
395		I		15840		1206
396		B		15760		319
397		B		15800		368
398		P		15960		482
399		B		15880		326
400		B		15920		241
401		P		16080		394
402		B		16000		265
403		B		16040		313
404		P		16200		387
405		B		16120		217
406		B		16160		243
407		I		16320		1183
408		B		16240		327
409		B		16280		361
410		P		16440		351
411		B		16360		220
412		B		16400		215
413		P		16560		455
414		B		16480		241
415		B		16520		253
416		P		16680		450
417		B		16600		239
418		B		16640		271
419		I		16800		1104
420		B		16720		320
421		B		16760		329
422		P		16920		581
423		B		16840		340
424		B		16880		287
425		P		17040		275
426		B		16960		326
427		B		17000		100
428		P		17160		131
429		B		17080		124
430		B		17120		71
431		I		17280		538
432		B		17200		222
433		B		17240		222
434		P		17400		313
435		B		17320		169
436		B		17360		155
437		P		17520		221
438		B		17440		168
439		B		17480		163
440		P		17640		137
441		B		17560		103
442		B		17600		109
443		I		17760		538
444		B		17680		199
445		B		17720		186
446		P		17880		207
447		B		17800		174
448		B		17840		92
449		P		18000		116
450		B		17920		98
451		B		17960		86
452		P		18120		168
453		B		18040		139
454		B		18080		226
455		I		18240		527
456		B		18160		234
457		B		18200		260
458		P		18360		315
459		B		18280		196
460		B		18320		106
461		P		18480		403
462		B		18400		123
463		B		18440		147
464		P		18600		511
465		B		18520		169
466		B		18560		222
467		I		18720		1027
468		B		18640		223
469		B		18680		283
470		P		18840		339
471		B		18760		201
472		B		18800		241
473		P		18960		385
474		B		18880		204
475		B		18920		232
476		P		19080		306
477		B		19000		206
478		B		19040		201
479		I		19200		1106
480		B		19120		223
481		B		19160		350
482		P		19320		299
483		B		19240		251
484		B		19280		318
485		P		19440		280
486		B		19360		188
487		B		19400		192
488		P		19560		320
489		B		19480		209
490		B		19520		213
491		I		19680		1076
492		B		19600		306
493		B		19640		322
494		P		19800		316
495		B		19720		318
496		B		19760		208
497		P		19920		328
498		B		19840		256
499		B		19880		218
500		P		20040		313
501		B		19960		229
502		B		20000		197
503		I		20160		1095
504		B		20080		259
505		B		20120		327
506		P		20280		364
507		B		20200		257
508		B		20240		199
509		P		20400		246
510		B		20320		231
511		B		20360		212
512		P		20520		414
513		B		20440		232
514		B		20480		270
515		I		20640		1133
516		B		20560		341
517		B		20600		311
518		P		20760		504
519		B		20680		257
520		B		20720		283
521		P		20880		283
522		B		20800		165
523		B		20840		158
524		P		21000		342
525		B		20920		268
526		B		20960		242
527		I		21120		949
528		B		21040		247
529		B		21080		200
530		P		21240		488
531		B		21160		286
532		B		21200		203
533		P		21360		278
534		B		21280		154
535		B		21320		242
536		P		21480		119
537		B		21400		88
538		B		21440		72
539		I		21600		535
540		B		21520		165
541		B		21560		239
542		P		21720		208
543		B		21640		183
544		B		21680		118
545		P		21840		562
546		B		21760		283
547		B		21800		277
548		P		21960		172
549		B		21880		146
550		B		21920		149
551		I		22080		494
552		B		22000		207
553		B		22040		208
554		P		22200		115
555		B		22120		90
556		B		22160		87
557		P		22320		297
558		B		22240		105
559		B		22280		130
560		P		22440		167
561		B		22360		127
562		B		22400		90
563		I		22560		495
564		B		22480		170
565		B		22520		221
566		P		22680		256
567		B		22600		151
568		B		22640		147
569		P		22800		496
570		B		22720		207
571		B		22760		216
572		P		22920		489
573		B		22840		312
574		B		22880		281
575		I		23040		556
576		B		22960		256
577		B		23000		292
578		P		23160		491
579		B		23080		237
580		B		23120		212
581		P		23280		462
582		B		23200		228
583		B		23240		201
584		P		23400		497
585		B		23320		211
586		B		23360		294
587		I		23520		752
588		B		23440		378
589		B		23480		287
590		P		23640		388
591		B		23560		269
592		B		23600		267
593		P		23760		483
594		B		23680		251
595		B		23720		255
596		P		23880		437
597		B		23800		293
598		B		23840		258
599		I		24000		788
600		B		23920		146
601		B		23960		215
602		P		24120		354
603		B		24040		225
604		B		24080		253
605		P		24240		348
606		B		24160		212
607		B		24200		187
608		P		24360		347
609		B		24280		207
610		B		24320		213
611		I		24480		890
612		B		24400		174
613		B		24440		182
614		P		24600		263
615		B		24520		181
616		B		24560		237
617		P		24720		213
618		B		24640		119
619		B		24680		202
620		P		24840		218
621		B		24760		192
622		B		24800		187
623		I		24960		906
624		B		24880		246
625		B		24920		281
626		P		25080		315
627		B		25000		286
628		B		25040		234
629		P		25200		267
630		B		25120		210
631		B		25160		174
632		P		25320		221
633		B		25240		145
634		B		25280		154
635		I		25440		911
636		B		25360		188
637		B		25400		188
638		P		25560		224
639		B		25480		168
640		B		25520		174
641		P		25680		220
642		B		25600		183
643		B		25640		171
644		P		25800		259
645		B		25720		180
646		B		25760		181
647		I		25920		896
648		B		25840		184
649		B		25880		235
650		P		26040		261
651		B		25960		234
652		B		26000		213
653		P		26160		340
654		B		26080		185
655		B		26120		171
656		P		26280		220
657		B		26200		175
658		B		26240		200
659		I		26400		836
660		B		26320		205
661		B		26360		226
662		P		26520		233
663		B		26440		190
664		B		26480		211
665		P		26640		309
666		B		26560		159
667		B		26600		209
668		P		26760		285
669		B		26680		178
670		B		26720		202
671		I		26880		922
672		B		26800		228
673		B		26840		209
674		P		27000		407
675		B		26920		183
676		B		26960		216
677		P		27120		417
678		B		27040		176
679		B		27080		190
680		P		27240		392
681		B		27160		187
682		B		27200		239
683		I		27360		1085
684		B		27280		227
685		B		27320		207
686		P		27480		314
687		B		27400		245
688		B		27440		225
689		P		27600		353
690		B		27520		237
691		B		27560		261
692		P		27720		423
693		B		27640		197
694		B		27680		276
695		I		27840		1204
696		B		27760		179
697		B		27800		243
698		P		27960		416
699		B		27880		256
700		B		27920		264
701		P		28080		376
702		B		28000		214
703		B		28040		219
704		P		28200		361
705		B		28120		207
706		B		28160		225
707		I		28320		1107
708		B		28240		214
709		B		28280		244
710		P		28440		351
711		B		28360		238
712		B		28400		251
713		P		28560		351
714		B		28480		222
715		B		28520		179
716		P		28680		305
717		B		28600		181
718		B		28640		183
719		I		28800		1072
720		B		28720		225
721		B		28760		240
722		P		28920		328
723		B		28840		233
724		B		28880		195
725		P		29040		329
726		B		28960		185
727		B		29000		193
728		P		29160		389
729		B		29080		260
730		B		29120		213
731		I		29280		1064
732		B		29200		281
733		B		29240		211
734		P		29400		429
735		B		29320		206
736		B		29360		249
737		P		29520		522
738		B		29440		205
739		B		29480		240
740		P		29640		581
741		B		29560		296
742		B		29600		279
743		I		29760		1203
744		B		29680		291
745		B		29720		337
746		P		29880		662
747		B		29800		265
748		B		29840		332
749		P		30000		840
750		B		29920		332
751		B		29960		401
752		P		30120		1046
753		B		30040		382
754		B		30080		480
755		I		30240		2092
756		B		30160		523
757		B		30200		608
758		P		30360		1086
759		B		30280		471
760		B		30320		620
761		P		30480		1250
762		B		30400		614
763		B		30440		720
764		P		30600		1338
765		B		30520		769
766		B		30560		923
767		I		30720		3011
768		B		30640		1188
769		B		30680		1465
770		P		30840		2265
771		B		30760		1278
772		B		30800		1538
773		P		30960		2470
774		B		30880		1758
775		B		30920		1635
776		P		31080		2435
777		B		31000		1662
778		B		31040		1588
779		I		31200		2767
780		B		31120		1628
781		B		31160		1657
782		P		31320		2508
783		B		31240		1637
784		B		31280		1722
785		P		31440		2046
786		B		31360		1614
787		B		31400		1495
788		P		31560		2140
789		B		31480		1514
790		B		31520		1601
791		I		31680		2276
792		B		31600		1690
793		B		31640		1645
794		P		31800		1867
795		B		31720		1356
796		B		31760		1416
797		P		31920		1211
798		B		31840		1390
799		B		31880		1244
800		P		32040		1060
801		B		31960		860
802		B		32000		753
803		I		32160		1226
804		B		32080		809
805		B		32120		952
806		P		32280		900
807		B		32200		725
808		B		32240		718
809		P		32400		681
810		B		32320		559
811		B		32360		534
812		P		32520		618
813		B		32440		545
814		B		32480		446
815		I		32640		778
816		B		32560		556
817		B		32600		450
818		P		32760		585
819		B		32680		317
820		B		32720		331
821		P		32880		533
822		B		32800		379
823		B		32840		315
824		P		33000		536
825		B		32920		370
826		B		32960		263
827		I		33120		666
828		B		33040		278
829		B		33080		287
830		P		33240		457
831		B		33160		308
832		B		33200		239
833		P		33360		520
834		B		33280		266
835		B		33320		251
836		P		33480		496
837		B		33400		244
838		B		33440		265
839		I		33600		784
840		B		33520		246
841		B		33560		216
842		P		33720		476
843		B		33640		334
844		B		33680		270
845		P		33840		638
846		B		33760		379
847		B		33800		373
848		P		33960		407
