1		I		0		4885
2		P		120		3412
3		B		40		1660
4		B		80		1921
5		P		240		2408
6		B		160		1760
7		B		200		1887
8		P		360		2641
9		B		280		1899
10		B		320		1982
11		I		480		4794
12		B		400		1977
13		B		440		1952
14		P		600		3047
15		B		520		1959
16		B		560		2079
17		P		720		2942
18		B		640		2093
19		B		680		2307
20		P		840		3045
21		B		760		2168
22		B		800		2257
23		I		960		4960
24		B		880		2178
25		B		920		2269
26		P		1080		3264
27		B		1000		2230
28		B		1040		2204
29		P		1200		3211
30		B		1120		2328
31		B		1160		2311
32		P		1320		3606
33		B		1240		2546
34		B		1280		2662
35		I		1440		5513
36		B		1360		2594
37		B		1400		2661
38		P		1560		3465
39		B		1480		2538
40		B		1520		2615
41		P		1680		3568
42		B		1600		2747
43		B		1640		2559
44		P		1800		3932
45		B		1720		2794
46		B		1760		2917
47		I		1920		6063
48		B		1840		2993
49		B		1880		3088
50		P		2040		4192
51		B		1960		2779
52		B		2000		2930
53		P		2160		4398
54		B		2080		3343
55		B		2120		3397
56		P		2280		5005
57		B		2200		3540
58		B		2240		3793
59		I		2400		7099
60		B		2320		3991
61		B		2360		4096
62		P		2520		5589
63		B		2440		4198
64		B		2480		4404
65		P		2640		6282
66		B		2560		4906
67		B		2600		5035
68		P		2760		6554
69		B		2680		5122
70		B		2720		5128
71		I		2880		8233
72		B		2800		4998
73		B		2840		4992
74		P		3000		6673
75		B		2920		5042
76		B		2960		5064
77		P		3120		6777
78		B		3040		5257
79		B		3080		5216
80		P		3240		6879
81		B		3160		5215
82		B		3200		5359
83		I		3360		8830
84		B		3280		5468
85		B		3320		5780
86		P		3480		6933
87		B		3400		5574
88		B		3440		5624
89		P		3600		7183
90		B		3520		5627
91		B		3560		5786
92		P		3720		7185
93		B		3640		5765
94		B		3680		5691
95		I		3840		8779
96		B		3760		5797
97		B		3800		5832
98		P		3960		6773
99		B		3880		5559
100		B		3920		5477
101		P		4080		6609
102		B		4000		5228
103		B		4040		5241
104		P		4200		6825
105		B		4120		5558
106		B		4160		5675
107		I		4320		9074
108		B		4240		5693
109		B		4280		5655
110		P		4440		6911
111		B		4360		5312
112		B		4400		5471
113		P		4560		6744
114		B		4480		5569
115		B		4520		5661
116		P		4680		7298
117		B		4600		5398
118		B		4640		5646
119		I		4800		9558
120		B		4720		6029
121		B		4760		6067
122		P		4920		6919
123		B		4840		5954
124		B		4880		5866
125		P		5040		6958
126		B		4960		5605
127		B		5000		5398
128		P		5160		6822
129		B		5080		5119
130		B		5120		5287
131		I		5280		9395
132		B		5200		5587
133		B		5240		5379
134		P		5400		6705
135		B		5320		5130
136		B		5360		5433
137		P		5520		6827
138		B		5440		5477
139		B		5480		5181
140		P		5640		7330
141		B		5560		5584
142		B		5600		5315
143		I		5760		9389
144		B		5680		5652
145		B		5720		5766
146		P		5880		7128
147		B		5800		5422
148		B		5840		5934
149		P		6000		7199
150		B		5920		5971
151		B		5960		5630
152		P		6120		7479
153		B		6040		5489
154		B		6080		5769
155		I		6240		9657
156		B		6160		5817
157		B		6200		6062
158		P		6360		7665
159		B		6280		5759
160		B		6320		5815
161		P		6480		7746
162		B		6400		6211
163		B		6440		6255
164		P		6600		6888
165		B		6520		5968
166		B		6560		5625
167		I		6720		9612
168		B		6640		5616
169		B		6680		5457
170		P		6840		7293
171		B		6760		5486
172		B		6800		5404
173		P		6960		7245
174		B		6880		5120
175		B		6920		5043
176		P		7080		6674
177		B		7000		4658
178		B		7040		5096
179		I		7200		9556
180		B		7120		5190
181		B		7160		5364
182		P		7320		6954
183		B		7240		5631
184		B		7280		5595
185		P		7440		7152
186		B		7360		5173
187		B		7400		5164
188		P		7560		7023
189		B		7480		5072
190		B		7520		4954
191		I		7680		9739
192		B		7600		5022
193		B		7640		5233
194		P		7800		7268
195		B		7720		5472
196		B		7760		5713
197		P		7920		6847
198		B		7840		5156
199		B		7880		5276
200		P		8040		7203
201		B		7960		5257
202		B		8000		5386
203		I		8160		9761
204		B		8080		5330
205		B		8120		5433
206		P		8280		7455
207		B		8200		5175
208		B		8240		5298
209		P		8400		7191
210		B		8320		5923
211		B		8360		5832
212		P		8520		7145
213		B		8440		5589
214		B		8480		5492
215		I		8640		9550
216		B		8560		5189
217		B		8600		5530
218		P		8760		6789
219		B		8680		5332
220		B		8720		5231
221		P		8880		6611
222		B		8800		5746
223		B		8840		5017
224		P		9000		6783
225		B		8920		5546
226		B		8960		5460
227		I		9120		9162
228		B		9040		5541
229		B		9080		5016
230		P		9240		6357
231		B		9160		4859
232		B		9200		5343
233		P		9360		6666
234		B		9280		4912
235		B		9320		5136
236		P		9480		6532
237		B		9400		4692
238		B		9440		4871
239		I		9600		8997
240		B		9520		4996
241		B		9560		4875
242		P		9720		6362
243		B		9640		4572
244		B		9680		4404
245		P		9840		6415
246		B		9760		4744
247		B		9800		4666
248		P		9960		6500
249		B		9880		4456
250		B		9920		4563
251		I		10080		8553
252		B		10000		4572
253		B		10040		4848
254		P		10200		6573
255		B		10120		4964
256		B		10160		5044
257		P		10320		6245
258		B		10240		5190
259		B		10280		4868
260		P		10440		6119
261		B		10360		5139
262		B		10400		5181
263		I		10560		8504
264		B		10480		4830
265		B		10520		4786
266		P		10680		5911
267		B		10600		4573
268		B		10640		4634
269		P		10800		5824
270		B		10720		4839
271		B		10760		4419
272		P		10920		6015
273		B		10840		4472
274		B		10880		4651
275		I		11040		8060
276		B		10960		4748
277		B		11000		4432
278		P		11160		5655
279		B		11080		3815
280		B		11120		3918
281		P		11280		5509
282		B		11200		3850
283		B		11240		3818
284		P		11400		5658
285		B		11320		4019
286		B		11360		4027
287		I		11520		8275
288		B		11440		4556
289		B		11480		4595
290		P		11640		5936
291		B		11560		4162
292		B		11600		4391
293		P		11760		5843
294		B		11680		3940
295		B		11720		3935
296		P		11880		5587
297		B		11800		4354
298		B		11840		4245
299		I		12000		8037
300		B		11920		4194
301		B		11960		4086
302		P		12120		5581
303		B		12040		3929
304		B		12080		3980
305		P		12240		6021
306		B		12160		4835
307		B		12200		5008
308		P		12360		5784
309		B		12280		4502
310		B		12320		4592
311		I		12480		8264
312		B		12400		4520
313		B		12440		4440
314		P		12600		6173
315		B		12520		4697
316		B		12560		4462
317		P		12720		6075
318		B		12640		4342
319		B		12680		4414
320		P		12840		6212
321		B		12760		4343
322		B		12800		4575
323		I		12960		8195
324		B		12880		3819
325		B		12920		3968
326		P		13080		5617
327		B		13000		3618
328		B		13040		3683
329		P		13200		5552
330		B		13120		3917
331		B		13160		3970
332		P		13320		5717
333		B		13240		4213
334		B		13280		4443
335		I		13440		8438
336		B		13360		4824
337		B		13400		4386
338		P		13560		5772
339		B		13480		4574
340		B		13520		4691
341		P		13680		6048
342		B		13600		4857
343		B		13640		4671
344		P		13800		6139
345		B		13720		4244
346		B		13760		4437
347		I		13920		8091
348		B		13840		4614
349		B		13880		4505
350		P		14040		5543
351		B		13960		4212
352		B		14000		4231
353		P		14160		5918
354		B		14080		4418
355		B		14120		4626
356		P		14280		6123
357		B		14200		4636
358		B		14240		4866
359		I		14400		7889
360		B		14320		4466
361		B		14360		4246
362		P		14520		6110
363		B		14440		4047
364		B		14480		4455
365		P		14640		5786
366		B		14560		4217
367		B		14600		4091
368		P		14760		5835
369		B		14680		4185
370		B		14720		3972
371		I		14880		7840
372		B		14800		4319
373		B		14840		4277
374		P		15000		5850
375		B		14920		4283
376		B		14960		4365
377		P		15120		5572
378		B		15040		4269
379		B		15080		4051
380		P		15240		5641
381		B		15160		3865
382		B		15200		4092
383		I		15360		7376
384		B		15280		4116
385		B		15320		3941
386		P		15480		5793
387		B		15400		4490
388		B		15440		4649
389		P		15600		5823
390		B		15520		4823
391		B		15560		4769
392		P		15720		5919
393		B		15640		4935
394		B		15680		4786
395		I		15840		8114
396		B		15760		5115
397		B		15800		5078
398		P		15960		6438
399		B		15880		5255
400		B		15920		5405
401		P		16080		7024
402		B		16000		5389
403		B		16040		5550
404		P		16200		6469
405		B		16120		5422
406		B		16160		5649
407		I		16320		8695
408		B		16240		5502
