1		I		0		600
2		P		120		3888
3		B		40		144
4		B		80		1320
5		P		240		2114
6		B		160		885
7		B		200		854
8		P		360		1743
9		B		280		983
10		B		320		909
11		I		480		3459
12		B		400		1022
13		B		440		1127
14		P		600		1351
15		B		520		845
16		B		560		988
17		P		720		1811
18		B		640		832
19		B		680		861
20		P		840		1433
21		B		760		1258
22		B		800		1270
23		I		960		3441
24		B		880		1027
25		B		920		883
26		P		1080		2129
27		B		1000		962
28		B		1040		1130
29		P		1200		1407
30		B		1120		736
31		B		1160		710
32		P		1320		995
33		B		1240		899
34		B		1280		760
35		I		1440		3489
36		B		1360		1095
37		B		1400		900
38		P		1560		1263
39		B		1480		895
40		B		1520		640
41		P		1680		1536
42		B		1600		697
43		B		1640		703
44		P		1800		937
45		B		1720		616
46		B		1760		740
47		I		1920		3447
48		B		1840		896
49		B		1880		891
50		P		2040		1972
51		B		1960		881
52		B		2000		978
53		P		2160		1363
54		B		2080		677
55		B		2120		635
56		P		2280		1679
57		B		2200		805
58		B		2240		814
59		I		2400		3430
60		B		2320		875
61		B		2360		985
62		P		2520		1411
63		B		2440		832
64		B		2480		1034
65		P		2640		1311
66		B		2560		893
67		B		2600		768
68		P		2760		927
69		B		2680		1210
70		B		2720		881
71		I		2880		3505
72		B		2800		798
73		B		2840		876
74		P		3000		1960
75		B		2920		1065
76		B		2960		1116
77		P		3120		4307
78		B		3040		1668
79		B		3080		1354
80		P		3240		1922
81		B		3160		1497
82		B		3200		1359
83		I		3360		4493
84		B		3280		1547
85		B		3320		1581
86		P		3480		2711
87		B		3400		1687
88		B		3440		1856
89		P		3600		2491
90		B		3520		1599
91		B		3560		1655
92		P		3720		2323
93		B		3640		1480
94		B		3680		1589
95		I		3840		4361
96		B		3760		1502
97		B		3800		1445
98		P		3960		2396
99		B		3880		1454
100		B		3920		1441
101		P		4080		2292
102		B		4000		1439
103		B		4040		1447
104		P		4200		2540
105		B		4120		1426
106		B		4160		1533
107		I		4320		4485
108		B		4240		1640
109		B		4280		1683
110		P		4440		2471
111		B		4360		1513
112		B		4400		1493
113		P		4560		2287
114		B		4480		1572
115		B		4520		1678
116		P		4680		2397
117		B		4600		1652
118		B		4640		1542
119		I		4800		4571
120		B		4720		1662
121		B		4760		1518
122		P		4920		2530
123		B		4840		1556
124		B		4880		1589
125		P		5040		2365
126		B		4960		1684
127		B		5000		1639
128		P		5160		3030
129		B		5080		1935
130		B		5120		1943
131		I		5280		4516
132		B		5200		2163
133		B		5240		2102
134		P		5400		2749
