1		I		0		5217
2		P		120		3055
3		B		40		2303
4		B		80		2126
5		P		240		2585
6		B		160		1786
7		B		200		1975
8		P		360		2634
9		B		280		1938
10		B		320		1962
11		I		480		9483
12		B		400		3987
13		B		440		3380
14		P		600		5016
15		B		520		2754
16		B		560		2747
17		P		720		3588
18		B		640		2542
19		B		680		2583
20		P		840		3922
21		B		760		2759
22		B		800		2899
23		I		960		9547
24		B		880		2297
25		B		920		2354
26		P		1080		3913
27		B		1000		2547
28		B		1040		2804
29		P		1200		4020
30		B		1120		2722
31		B		1160		2809
32		P		1320		4096
33		B		1240		2967
34		B		1280		3100
35		I		1440		9410
36		B		1360		2799
37		B		1400		2958
38		P		1560		4325
39		B		1480		2910
40		B		1520		3028
41		P		1680		4375
42		B		1600		2860
43		B		1640		2878
44		P		1800		4114
45		B		1720		2947
46		B		1760		2972
47		I		1920		9519
48		B		1840		2652
49		B		1880		2557
50		P		2040		4187
51		B		1960		2813
52		B		2000		3049
53		P		2160		4347
54		B		2080		3011
55		B		2120		2844
56		P		2280		3992
57		B		2200		2562
58		B		2240		2762
59		I		2400		9474
60		B		2320		2350
61		B		2360		2365
62		P		2520		3891
63		B		2440		2728
64		B		2480		2837
65		P		2640		3905
66		B		2560		2502
67		B		2600		2707
68		P		2760		3537
69		B		2680		2501
70		B		2720		2582
71		I		2880		9613
72		B		2800		2303
73		B		2840		2318
74		P		3000		3443
75		B		2920		2371
76		B		2960		2382
77		P		3120		3279
78		B		3040		2247
79		B		3080		2309
80		P		3240		3059
81		B		3160		2238
82		B		3200		2340
83		I		3360		9536
84		B		3280		2013
85		B		3320		1887
86		P		3480		3123
87		B		3400		2119
88		B		3440		2181
89		P		3600		3091
90		B		3520		2096
91		B		3560		2141
92		P		3720		3130
93		B		3640		2036
94		B		3680		2231
95		I		3840		9613
96		B		3760		1981
97		B		3800		1963
98		P		3960		3409
99		B		3880		2330
100		B		3920		2393
101		P		4080		3516
102		B		4000		2494
103		B		4040		2506
104		P		4200		3137
105		B		4120		2193
106		B		4160		2230
107		I		4320		9552
108		B		4240		1940
109		B		4280		1936
110		P		4440		3015
111		B		4360		2079
112		B		4400		2327
113		P		4560		2852
114		B		4480		2179
115		B		4520		2010
116		P		4680		2463
117		B		4600		1894
118		B		4640		2024
119		I		4800		9463
120		B		4720		1595
121		B		4760		1539
122		P		4920		2698
123		B		4840		1987
124		B		4880		1914
125		P		5040		2681
126		B		4960		1883
127		B		5000		1946
128		P		5160		2798
129		B		5080		1979
130		B		5120		2095
131		I		5280		9426
132		B		5200		1865
133		B		5240		1818
134		P		5400		3071
135		B		5320		2069
136		B		5360		2300
137		P		5520		2946
138		B		5440		2069
139		B		5480		2005
140		P		5640		2976
141		B		5560		2182
142		B		5600		2270
143		I		5760		9486
144		B		5680		1885
145		B		5720		1883
146		P		5880		2792
147		B		5800		2001
148		B		5840		2068
149		P		6000		2823
150		B		5920		1857
151		B		5960		2086
152		P		6120		2796
153		B		6040		2119
154		B		6080		2182
155		I		6240		9516
156		B		6160		1957
157		B		6200		1862
158		P		6360		2865
159		B		6280		2044
160		B		6320		2096
161		P		6480		2604
162		B		6400		1868
163		B		6440		2098
164		P		6600		2587
165		B		6520		1916
166		B		6560		2008
167		I		6720		9551
168		B		6640		1852
169		B		6680		1614
170		P		6840		2552
171		B		6760		2054
172		B		6800		1999
173		P		6960		2386
174		B		6880		1769
175		B		6920		2009
176		P		7080		2390
177		B		7000		1873
178		B		7040		1892
179		I		7200		9578
180		B		7120		1499
181		B		7160		1680
182		P		7320		2778
183		B		7240		1964
184		B		7280		1913
185		P		7440		2552
186		B		7360		1917
187		B		7400		1954
188		P		7560		2669
189		B		7480		1991
190		B		7520		2031
191		I		7680		9549
192		B		7600		1764
193		B		7640		1659
194		P		7800		2756
195		B		7720		1948
196		B		7760		2102
197		P		7920		2636
198		B		7840		1887
199		B		7880		2030
200		P		8040		2570
201		B		7960		1906
202		B		8000		1999
203		I		8160		9597
204		B		8080		1641
205		B		8120		1692
206		P		8280		2865
207		B		8200		1993
208		B		8240		1992
209		P		8400		3159
210		B		8320		2056
211		B		8360		2355
212		P		8520		2905
213		B		8440		1920
214		B		8480		1991
215		I		8640		9525
216		B		8560		1663
217		B		8600		1748
218		P		8760		2620
219		B		8680		2222
220		B		8720		2084
221		P		8880		2503
222		B		8800		1866
223		B		8840		1981
224		P		9000		2474
225		B		8920		1900
226		B		8960		1813
227		I		9120		9486
228		B		9040		1801
229		B		9080		1716
230		P		9240		2741
231		B		9160		2269
232		B		9200		2108
233		P		9360		2795
234		B		9280		1858
235		B		9320		1824
236		P		9480		2489
237		B		9400		2083
238		B		9440		1911
239		I		9600		9546
240		B		9520		1570
241		B		9560		1729
242		P		9720		2732
243		B		9640		1958
244		B		9680		1992
245		P		9840		6021
246		B		9760		2382
247		B		9800		1676
248		P		9960		1931
249		B		9880		1567
250		B		9920		1829
251		I		10080		5081
252		B		10000		1105
253		B		10040		922
254		P		10200		1348
255		B		10120		1160
256		B		10160		1062
257		P		10320		1472
258		B		10240		1165
259		B		10280		1333
260		P		10440		2020
261		B		10360		1126
262		B		10400		1049
263		I		10560		5059
264		B		10480		944
265		B		10520		912
266		P		10680		1598
267		B		10600		1106
268		B		10640		1362
269		P		10800		1911
270		B		10720		1189
271		B		10760		1255
272		P		10920		2104
273		B		10840		1204
274		B		10880		1272
275		I		11040		5082
276		B		10960		1004
277		B		11000		883
278		P		11160		1894
279		B		11080		1072
280		B		11120		1053
281		P		11280		1858
282		B		11200		1015
283		B		11240		1097
284		P		11400		2219
285		B		11320		1304
286		B		11360		1490
287		I		11520		5078
288		B		11440		1012
289		B		11480		1042
290		P		11640		1742
291		B		11560		1185
292		B		11600		1030
293		P		11760		2008
294		B		11680		1107
295		B		11720		1179
296		P		11880		1685
297		B		11800		1097
298		B		11840		1133
299		I		12000		5054
300		B		11920		880
301		B		11960		824
302		P		12120		1588
303		B		12040		1087
304		B		12080		1068
305		P		12240		1701
306		B		12160		971
307		B		12200		1021
308		P		12360		1683
309		B		12280		1049
310		B		12320		1045
311		I		12480		5132
312		B		12400		939
313		B		12440		1004
314		P		12600		1639
315		B		12520		1122
316		B		12560		1027
317		P		12720		1910
318		B		12640		1001
319		B		12680		1062
320		P		12840		1573
321		B		12760		1087
322		B		12800		1196
323		I		12960		9588
324		B		12880		1234
325		B		12920		2640
326		P		13080		2676
327		B		13000		2090
328		B		13040		1927
329		P		13200		2376
330		B		13120		1885
331		B		13160		1875
332		P		13320		2162
333		B		13240		1746
334		B		13280		1675
335		I		13440		9590
336		B		13360		1494
337		B		13400		1539
338		P		13560		2804
339		B		13480		2217
340		B		13520		2168
341		P		13680		2540
342		B		13600		1848
343		B		13640		1992
344		P		13800		2375
345		B		13720		1941
346		B		13760		2026
347		I		13920		9566
348		B		13840		1692
349		B		13880		1818
350		P		14040		2630
351		B		13960		2020
352		B		14000		2064
353		P		14160		2263
354		B		14080		1605
355		B		14120		1757
356		P		14280		2147
357		B		14200		1727
358		B		14240		1679
359		I		14400		9529
360		B		14320		1666
361		B		14360		1642
362		P		14520		2544
363		B		14440		1868
364		B		14480		1973
365		P		14640		2410
366		B		14560		1726
367		B		14600		1795
368		P		14760		2342
369		B		14680		1771
370		B		14720		1832
371		I		14880		9511
372		B		14800		1543
373		B		14840		1483
374		P		15000		2185
375		B		14920		1683
376		B		14960		1908
377		P		15120		2055
378		B		15040		1680
379		B		15080		1670
380		P		15240		2028
381		B		15160		1619
382		B		15200		1702
383		I		15360		9535
384		B		15280		1376
385		B		15320		1361
386		P		15480		2471
387		B		15400		1747
388		B		15440		1881
389		P		15600		2453
390		B		15520		1865
391		B		15560		1917
392		P		15720		2900
393		B		15640		1861
394		B		15680		2025
395		I		15840		4907
396		B		15760		2387
397		B		15800		2527
398		P		15960		2942
399		B		15880		1776
400		B		15920		1740
401		P		16080		2843
402		B		16000		2234
403		B		16040		2256
404		P		16200		2977
405		B		16120		2311
406		B		16160		2230
407		I		16320		4831
408		B		16240		2489
409		B		16280		2447
410		P		16440		3785
411		B		16360		2708
412		B		16400		2722
413		P		16560		3260
414		B		16480		2572
415		B		16520		2586
416		P		16680		3030
417		B		16600		2298
418		B		16640		2200
419		I		16800		4653
420		B		16720		2037
421		B		16760		1984
422		P		16920		2477
423		B		16840		1942
424		B		16880		2064
425		P		17040		2166
426		B		16960		1692
427		B		17000		1611
428		P		17160		1751
429		B		17080		1767
430		B		17120		1328
431		I		17280		4756
432		B		17200		1598
433		B		17240		1487
434		P		17400		2296
435		B		17320		1344
436		B		17360		1618
437		P		17520		2238
438		B		17440		1749
439		B		17480		1709
440		P		17640		2241
441		B		17560		2037
442		B		17600		1735
443		I		17760		4620
444		B		17680		1636
445		B		17720		1742
446		P		17880		2376
447		B		17800		1758
448		B		17840		1818
449		P		18000		2570
450		B		17920		1908
451		B		17960		1891
452		P		18120		2440
453		B		18040		1859
454		B		18080		1907
455		I		18240		4811
456		B		18160		1811
457		B		18200		1666
458		P		18360		2324
459		B		18280		1796
460		B		18320		1839
461		P		18480		2321
462		B		18400		1773
463		B		18440		1813
464		P		18600		2374
465		B		18520		1820
466		B		18560		1860
467		I		18720		4791
468		B		18640		1714
469		B		18680		1920
470		P		18840		2371
471		B		18760		1926
472		B		18800		1944
473		P		18960		2278
474		B		18880		1997
475		B		18920		2048
476		P		19080		2352
477		B		19000		1670
478		B		19040		1723
479		I		19200		4866
480		B		19120		1279
481		B		19160		1480
482		P		19320		2232
483		B		19240		1674
484		B		19280		1638
485		P		19440		2255
486		B		19360		1708
487		B		19400		1944
488		P		19560		2327
489		B		19480		1966
490		B		19520		2058
491		I		19680		4612
492		B		19600		1859
493		B		19640		1704
494		P		19800		2549
495		B		19720		1805
496		B		19760		1902
497		P		19920		2461
498		B		19840		1939
499		B		19880		2024
500		P		20040		3149
501		B		19960		2165
502		B		20000		2406
503		I		20160		4894
504		B		20080		2559
505		B		20120		2122
506		P		20280		4073
507		B		20200		2545
508		B		20240		2952
509		P		20400		4289
510		B		20320		2480
511		B		20360		2683
512		P		20520		4056
513		B		20440		2550
514		B		20480		2583
515		I		20640		5948
516		B		20560		2728
517		B		20600		2371
518		P		20760		3685
519		B		20680		2369
520		B		20720		2515
521		P		20880		3791
522		B		20800		2859
523		B		20840		2817
524		P		21000		3939
525		B		20920		2825
526		B		20960		2652
527		I		21120		6107
528		B		21040		2851
529		B		21080		2899
530		P		21240		4465
531		B		21160		3056
532		B		21200		3000
533		P		21360		4031
534		B		21280		2925
535		B		21320		2722
536		P		21480		3335
537		B		21400		2567
538		B		21440		2614
539		I		21600		6279
540		B		21520		3081
541		B		21560		3157
542		P		21720		4392
543		B		21640		3176
544		B		21680		3193
545		P		21840		4381
546		B		21760		3203
547		B		21800		3152
548		P		21960		4013
549		B		21880		2904
550		B		21920		2927
551		I		22080		6861
552		B		22000		2692
553		B		22040		2491
554		P		22200		3366
555		B		22120		2361
556		B		22160		2428
557		P		22320		3324
558		B		22240		2614
559		B		22280		2652
560		P		22440		3575
561		B		22360		2178
562		B		22400		2351
563		I		22560		6950
564		B		22480		1814
565		B		22520		1952
566		P		22680		3123
567		B		22600		2042
568		B		22640		1955
569		P		22800		3012
570		B		22720		2230
571		B		22760		2176
572		P		22920		3353
573		B		22840		2283
574		B		22880		2359
575		I		23040		6716
576		B		22960		2461
577		B		23000		2666
578		P		23160		3865
579		B		23080		2731
580		B		23120		2872
581		P		23280		3922
582		B		23200		2700
583		B		23240		2992
584		P		23400		3693
585		B		23320		2776
586		B		23360		2767
587		I		23520		6771
588		B		23440		2513
589		B		23480		2507
590		P		23640		3458
591		B		23560		2350
592		B		23600		2549
593		P		23760		2943
594		B		23680		2459
595		B		23720		2177
596		P		23880		3430
