1		I		0		8832
2		P		120		1607
3		B		40		1295
4		B		80		1396
5		P		240		1445
6		B		160		1113
7		B		200		1217
8		P		360		1254
9		B		280		1149
10		B		320		1103
11		I		480		8827
12		B		400		901
13		B		440		934
14		P		600		1746
15		B		520		1273
16		B		560		1344
17		P		720		2303
18		B		640		1554
19		B		680		1770
20		P		840		2340
21		B		760		1742
22		B		800		1809
23		I		960		8855
24		B		880		1565
25		B		920		1499
26		P		1080		2128
27		B		1000		1577
28		B		1040		1587
29		P		1200		1982
30		B		1120		1458
31		B		1160		1500
32		P		1320		1752
33		B		1240		1311
34		B		1280		1351
35		I		1440		8942
36		B		1360		1000
37		B		1400		1018
38		P		1560		1794
39		B		1480		1331
40		B		1520		1344
41		P		1680		1631
42		B		1600		1237
43		B		1640		1326
44		P		1800		1758
45		B		1720		1298
46		B		1760		1323
47		I		1920		8917
48		B		1840		1218
49		B		1880		1311
50		P		2040		1863
51		B		1960		1306
52		B		2000		1381
53		P		2160		1747
54		B		2080		1192
55		B		2120		1230
56		P		2280		1558
57		B		2200		1227
58		B		2240		1289
59		I		2400		8926
60		B		2320		962
61		B		2360		986
62		P		2520		1730
63		B		2440		1244
64		B		2480		1293
65		P		2640		1602
66		B		2560		1124
67		B		2600		1216
68		P		2760		1413
69		B		2680		1166
70		B		2720		1143
71		I		2880		8967
72		B		2800		948
73		B		2840		923
74		P		3000		1648
75		B		2920		1306
76		B		2960		1351
77		P		3120		1649
78		B		3040		1178
79		B		3080		1265
80		P		3240		1368
81		B		3160		1118
82		B		3200		1189
83		I		3360		8940
84		B		3280		999
85		B		3320		913
86		P		3480		1560
87		B		3400		1262
88		B		3440		1377
89		P		3600		1410
90		B		3520		1145
91		B		3560		1174
92		P		3720		1219
93		B		3640		1138
94		B		3680		1113
95		I		3840		8922
96		B		3760		907
97		B		3800		868
98		P		3960		1527
99		B		3880		1253
100		B		3920		1315
101		P		4080		1350
102		B		4000		1161
103		B		4040		1166
104		P		4200		1269
105		B		4120		1111
106		B		4160		1109
107		I		4320		8862
108		B		4240		935
109		B		4280		886
110		P		4440		1513
111		B		4360		1263
112		B		4400		1332
113		P		4560		1385
114		B		4480		1128
115		B		4520		1166
116		P		4680		1305
117		B		4600		1138
118		B		4640		1095
119		I		4800		8898
120		B		4720		944
121		B		4760		901
122		P		4920		1519
123		B		4840		1293
124		B		4880		1316
125		P		5040		1434
126		B		4960		1161
127		B		5000		1172
128		P		5160		1594
129		B		5080		1169
130		B		5120		1219
131		I		5280		8884
132		B		5200		1287
133		B		5240		1221
134		P		5400		2501
135		B		5320		1775
136		B		5360		1808
137		P		5520		2441
138		B		5440		1609
139		B		5480		1710
140		P		5640		2018
141		B		5560		1518
142		B		5600		1468
143		I		5760		8905
144		B		5680		1210
145		B		5720		1139
146		P		5880		2042
147		B		5800		1481
148		B		5840		1561
149		P		6000		1917
150		B		5920		1367
151		B		5960		1399
152		P		6120		1402
153		B		6040		1090
154		B		6080		1191
155		I		6240		8892
156		B		6160		930
157		B		6200		920
158		P		6360		1728
159		B		6280		1278
160		B		6320		1353
161		P		6480		1533
162		B		6400		1201
163		B		6440		1311
164		P		6600		1740
165		B		6520		1371
166		B		6560		1349
167		I		6720		8934
168		B		6640		1044
169		B		6680		984
170		P		6840		1636
171		B		6760		1279
172		B		6800		1370
173		P		6960		1434
174		B		6880		1170
175		B		6920		1259
176		P		7080		1384
177		B		7000		1126
178		B		7040		1161
179		I		7200		8911
180		B		7120		992
