1		I		0		4648
2		P		120		69
3		B		40		28
4		B		80		28
5		P		240		66
6		B		160		27
7		B		200		27
8		P		360		47
9		B		280		30
10		B		320		31
11		I		480		4632
12		B		400		42
13		B		440		44
14		P		600		108
15		B		520		31
16		B		560		32
17		P		720		334
18		B		640		118
19		B		680		130
20		P		840		391
21		B		760		149
22		B		800		165
23		I		960		4666
24		B		880		143
25		B		920		124
26		P		1080		211
27		B		1000		74
28		B		1040		70
29		P		1200		207
30		B		1120		78
31		B		1160		72
32		P		1320		166
33		B		1240		44
34		B		1280		41
35		I		1440		4703
36		B		1360		44
37		B		1400		45
38		P		1560		95
39		B		1480		27
40		B		1520		29
41		P		1680		100
42		B		1600		34
43		B		1640		39
44		P		1800		148
45		B		1720		42
46		B		1760		48
47		I		1920		4691
48		B		1840		85
49		B		1880		90
50		P		2040		121
51		B		1960		28
52		B		2000		28
53		P		2160		140
54		B		2080		31
55		B		2120		31
56		P		2280		150
57		B		2200		35
58		B		2240		34
59		I		2400		4669
60		B		2320		43
61		B		2360		46
62		P		2520		86
63		B		2440		28
64		B		2480		28
65		P		2640		116
66		B		2560		28
67		B		2600		28
68		P		2760		129
69		B		2680		33
70		B		2720		37
71		I		2880		4671
72		B		2800		43
73		B		2840		43
74		P		3000		71
75		B		2920		30
76		B		2960		30
77		P		3120		98
78		B		3040		27
79		B		3080		28
80		P		3240		90
81		B		3160		32
82		B		3200		31
83		I		3360		4632
84		B		3280		42
85		B		3320		41
86		P		3480		39
87		B		3400		26
88		B		3440		26
89		P		3600		68
90		B		3520		27
91		B		3560		28
92		P		3720		71
93		B		3640		30
94		B		3680		30
95		I		3840		4671
96		B		3760		44
97		B		3800		42
98		P		3960		40
99		B		3880		27
100		B		3920		27
101		P		4080		49
102		B		4000		27
103		B		4040		27
104		P		4200		50
105		B		4120		30
106		B		4160		30
107		I		4320		4662
108		B		4240		44
109		B		4280		41
110		P		4440		40
111		B		4360		27
112		B		4400		27
113		P		4560		66
114		B		4480		27
115		B		4520		27
116		P		4680		50
117		B		4600		31
118		B		4640		31
119		I		4800		4649
120		B		4720		44
121		B		4760		42
122		P		4920		40
123		B		4840		27
124		B		4880		27
125		P		5040		68
126		B		4960		28
127		B		5000		28
128		P		5160		115
129		B		5080		33
130		B		5120		33
131		I		5280		4656
132		B		5200		87
133		B		5240		83
134		P		5400		338
135		B		5320		103
136		B		5360		117
137		P		5520		391
138		B		5440		117
139		B		5480		126
140		P		5640		288
141		B		5560		106
142		B		5600		87
143		I		5760		4667
144		B		5680		79
145		B		5720		75
146		P		5880		180
147		B		5800		74
148		B		5840		78
149		P		6000		219
150		B		5920		74
151		B		5960		76
152		P		6120		117
153		B		6040		34
154		B		6080		35
155		I		6240		4683
156		B		6160		40
157		B		6200		42
158		P		6360		91
159		B		6280		28
160		B		6320		28
161		P		6480		118
162		B		6400		30
163		B		6440		39
164		P		6600		205
165		B		6520		87
166		B		6560		82
167		I		6720		4660
168		B		6640		67
169		B		6680		42
170		P		6840		43
171		B		6760		27
172		B		6800		27
173		P		6960		81
174		B		6880		28
175		B		6920		29
176		P		7080		89
177		B		7000		33
178		B		7040		36
179		I		7200		4656
180		B		7120		51
181		B		7160		70
182		P		7320		72
183		B		7240		28
184		B		7280		27
185		P		7440		85
186		B		7360		28
187		B		7400		29
188		P		7560		82
189		B		7480		30
190		B		7520		32
191		I		7680		4643
192		B		7600		43
193		B		7640		44
194		P		7800		41
195		B		7720		27
196		B		7760		27
197		P		7920		49
198		B		7840		28
199		B		7880		27
200		P		8040		88
201		B		7960		39
202		B		8000		35
203		I		8160		4660
204		B		8080		46
205		B		8120		40
206		P		8280		42
207		B		8200		27
208		B		8240		27
209		P		8400		96
210		B		8320		32
211		B		8360		32
212		P		8520		80
213		B		8440		33
214		B		8480		32
215		I		8640		4673
216		B		8560		43
217		B		8600		41
218		P		8760		74
219		B		8680		30
220		B		8720		32
221		P		8880		85
222		B		8800		30
223		B		8840		30
224		P		9000		69
225		B		8920		32
226		B		8960		34
227		I		9120		4640
228		B		9040		40
229		B		9080		42
230		P		9240		39
231		B		9160		26
232		B		9200		26
233		P		9360		43
234		B		9280		27
235		B		9320		27
236		P		9480		42
237		B		9400		30
238		B		9440		30
239		I		9600		4650
240		B		9520		41
241		B		9560		40
242		P		9720		39
243		B		9640		26
244		B		9680		26
245		P		9840		40
246		B		9760		27
247		B		9800		27
248		P		9960		49
249		B		9880		30
250		B		9920		30
251		I		10080		4654
252		B		10000		41
253		B		10040		41
254		P		10200		39
255		B		10120		26
256		B		10160		26
257		P		10320		43
258		B		10240		27
259		B		10280		27
260		P		10440		91
261		B		10360		31
262		B		10400		30
263		I		10560		4650
264		B		10480		40
265		B		10520		42
266		P		10680		47
267		B		10600		27
268		B		10640		27
269		P		10800		49
270		B		10720		27
271		B		10760		27
272		P		10920		48
273		B		10840		30
274		B		10880		31
275		I		11040		4671
276		B		10960		42
277		B		11000		41
278		P		11160		79
279		B		11080		27
280		B		11120		27
281		P		11280		74
282		B		11200		29
283		B		11240		28
284		P		11400		47
285		B		11320		31
286		B		11360		31
287		I		11520		4677
288		B		11440		42
289		B		11480		43
290		P		11640		41
291		B		11560		27
292		B		11600		27
293		P		11760		46
294		B		11680		27
295		B		11720		27
296		P		11880		82
297		B		11800		31
298		B		11840		32
299		I		12000		4687
300		B		11920		42
301		B		11960		41
302		P		12120		39
303		B		12040		26
304		B		12080		26
305		P		12240		46
306		B		12160		27
307		B		12200		27
308		P		12360		48
309		B		12280		30
310		B		12320		30
311		I		12480		4672
312		B		12400		41
313		B		12440		43
314		P		12600		41
315		B		12520		27
316		B		12560		29
317		P		12720		43
318		B		12640		27
319		B		12680		27
320		P		12840		49
321		B		12760		30
322		B		12800		30
323		I		12960		4688
324		B		12880		42
325		B		12920		46
326		P		13080		75
327		B		13000		28
328		B		13040		30
329		P		13200		174
330		B		13120		40
331		B		13160		67
332		P		13320		229
333		B		13240		101
334		B		13280		90
335		I		13440		4730
336		B		13360		85
337		B		13400		78
338		P		13560		169
339		B		13480		44
340		B		13520		45
341		P		13680		172
342		B		13600		41
343		B		13640		49
344		P		13800		206
345		B		13720		72
346		B		13760		72
347		I		13920		4693
348		B		13840		79
349		B		13880		72
350		P		14040		142
351		B		13960		46
352		B		14000		41
353		P		14160		158
354		B		14080		37
355		B		14120		47
356		P		14280		198
357		B		14200		43
358		B		14240		41
359		I		14400		4655
360		B		14320		42
361		B		14360		42
362		P		14520		115
363		B		14440		30
364		B		14480		32
365		P		14640		103
366		B		14560		29
367		B		14600		32
368		P		14760		128
369		B		14680		41
370		B		14720		35
371		I		14880		4665
372		B		14800		40
373		B		14840		45
374		P		15000		109
375		B		14920		31
376		B		14960		32
377		P		15120		108
378		B		15040		32
379		B		15080		32
380		P		15240		130
381		B		15160		35
382		B		15200		34
383		I		15360		4683
384		B		15280		48
385		B		15320		47
386		P		15480		75
387		B		15400		28
388		B		15440		28
389		P		15600		93
390		B		15520		28
391		B		15560		28
392		P		15720		114
393		B		15640		32
394		B		15680		32
395		I		15840		4709
396		B		15760		43
397		B		15800		44
398		P		15960		42
399		B		15880		27
400		B		15920		28
401		P		16080		45
402		B		16000		28
403		B		16040		28
404		P		16200		46
405		B		16120		30
406		B		16160		31
407		I		16320		4698
408		B		16240		42
409		B		16280		44
410		P		16440		42
411		B		16360		27
412		B		16400		27
413		P		16560		41
414		B		16480		27
415		B		16520		27
416		P		16680		42
417		B		16600		30
418		B		16640		30
419		I		16800		4694
420		B		16720		44
421		B		16760		42
422		P		16920		93
423		B		16840		34
424		B		16880		32
425		P		17040		51
426		B		16960		27
427		B		17000		29
428		P		17160		82
429		B		17080		32
430		B		17120		34
431		I		17280		4712
432		B		17200		39
433		B		17240		45
434		P		17400		42
435		B		17320		27
436		B		17360		28
437		P		17520		43
438		B		17440		27
439		B		17480		27
440		P		17640		44
441		B		17560		30
442		B		17600		30
443		I		17760		4716
444		B		17680		41
445		B		17720		40
446		P		17880		39
447		B		17800		26
448		B		17840		26
449		P		18000		48
450		B		17920		28
451		B		17960		28
452		P		18120		69
453		B		18040		33
454		B		18080		33
455		I		18240		4665
456		B		18160		42
457		B		18200		43
458		P		18360		41
459		B		18280		27
460		B		18320		27
461		P		18480		41
462		B		18400		27
463		B		18440		27
464		P		18600		46
465		B		18520		31
466		B		18560		30
467		I		18720		4663
468		B		18640		41
469		B		18680		40
470		P		18840		44
471		B		18760		27
472		B		18800		27
473		P		18960		41
474		B		18880		27
475		B		18920		27
476		P		19080		42
477		B		19000		30
478		B		19040		30
479		I		19200		4633
480		B		19120		41
481		B		19160		44
482		P		19320		39
483		B		19240		26
484		B		19280		26
485		P		19440		82
486		B		19360		29
487		B		19400		27
488		P		19560		75
489		B		19480		31
490		B		19520		33
491		I		19680		4648
492		B		19600		42
493		B		19640		44
494		P		19800		44
495		B		19720		27
496		B		19760		27
497		P		19920		44
498		B		19840		28
499		B		19880		27
500		P		20040		52
501		B		19960		30
502		B		20000		31
503		I		20160		4666
504		B		20080		42
505		B		20120		41
506		P		20280		39
507		B		20200		26
508		B		20240		26
509		P		20400		86
510		B		20320		28
511		B		20360		27
512		P		20520		103
513		B		20440		31
514		B		20480		32
515		I		20640		4640
516		B		20560		41
517		B		20600		43
518		P		20760		50
519		B		20680		28
520		B		20720		28
521		P		20880		72
522		B		20800		28
523		B		20840		27
524		P		21000		118
525		B		20920		32
526		B		20960		32
527		I		21120		4645
528		B		21040		42
529		B		21080		41
530		P		21240		100
531		B		21160		31
532		B		21200		37
533		P		21360		118
534		B		21280		39
535		B		21320		49
536		P		21480		100
537		B		21400		33
538		B		21440		33
539		I		21600		4663
540		B		21520		49
541		B		21560		45
542		P		21720		116
543		B		21640		39
544		B		21680		38
545		P		21840		106
546		B		21760		30
547		B		21800		29
548		P		21960		102
549		B		21880		34
550		B		21920		33
