1		I		0		4063
2		P		120		2597
3		B		40		1411
4		B		80		1727
5		P		240		1926
6		B		160		1480
7		B		200		1576
8		P		360		2003
9		B		280		1525
10		B		320		1603
11		I		480		4163
12		B		400		1576
13		B		440		1489
14		P		600		1991
15		B		520		1522
16		B		560		1587
17		P		720		2045
18		B		640		1549
19		B		680		1606
20		P		840		2130
21		B		760		1615
22		B		800		1634
23		I		960		4098
24		B		880		1549
25		B		920		1560
26		P		1080		2095
27		B		1000		1532
28		B		1040		1523
29		P		1200		2192
30		B		1120		1586
31		B		1160		1631
32		P		1320		2141
33		B		1240		1627
34		B		1280		1554
35		I		1440		4162
36		B		1360		1620
37		B		1400		1619
38		P		1560		2154
39		B		1480		1622
40		B		1520		1606
41		P		1680		2208
42		B		1600		1661
43		B		1640		1697
44		P		1800		2221
45		B		1720		1669
46		B		1760		1645
47		I		1920		4061
48		B		1840		1679
49		B		1880		1719
50		P		2040		2221
51		B		1960		1580
52		B		2000		1637
53		P		2160		2132
54		B		2080		1666
55		B		2120		1757
56		P		2280		2188
57		B		2200		1630
58		B		2240		1663
59		I		2400		4092
60		B		2320		1589
61		B		2360		1573
62		P		2520		2101
63		B		2440		1610
64		B		2480		1601
65		P		2640		2076
66		B		2560		1649
67		B		2600		1643
68		P		2760		2182
69		B		2680		1668
70		B		2720		1708
71		I		2880		4022
72		B		2800		1610
73		B		2840		1650
74		P		3000		2105
75		B		2920		1657
76		B		2960		1764
77		P		3120		2100
78		B		3040		1639
79		B		3080		1696
80		P		3240		2146
81		B		3160		1692
82		B		3200		1698
83		I		3360		4183
84		B		3280		1645
85		B		3320		1595
86		P		3480		2194
87		B		3400		1659
88		B		3440		1699
89		P		3600		2151
90		B		3520		1711
91		B		3560		1657
92		P		3720		2108
93		B		3640		1601
94		B		3680		1615
95		I		3840		4183
96		B		3760		1582
97		B		3800		1601
98		P		3960		2091
99		B		3880		1554
100		B		3920		1563
101		P		4080		2136
102		B		4000		1568
103		B		4040		1545
104		P		4200		1996
105		B		4120		1541
106		B		4160		1566
107		I		4320		4067
108		B		4240		1411
109		B		4280		1483
110		P		4440		1914
